,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,year
304,0500000US08119,8119,"Teller County, Colorado",22821,2010
305,0500000US08121,8121,"Washington County, Colorado",4773,2010
306,0500000US08123,8123,"Weld County, Colorado",242860,2010
307,0500000US08125,8125,"Yuma County, Colorado",9896,2010
308,0500000US09001,9001,"Fairfield County, Connecticut",905342,2010
309,0500000US09003,9003,"Hartford County, Connecticut",887976,2010
310,0500000US09005,9005,"Litchfield County, Connecticut",189916,2010
311,0500000US09007,9007,"Middlesex County, Connecticut",164774,2010
312,0500000US09009,9009,"New Haven County, Connecticut",856688,2010
313,0500000US09011,9011,"New London County, Connecticut",272360,2010
314,0500000US09013,9013,"Tolland County, Connecticut",151073,2010
315,0500000US09015,9015,"Windham County, Connecticut",117708,2010
316,0500000US10001,10001,"Kent County, Delaware",156918,2010
317,0500000US10003,10003,"New Castle County, Delaware",533514,2010
318,0500000US10005,10005,"Sussex County, Delaware",190846,2010
319,0500000US11001,11001,"District of Columbia, District of Columbia",584400,2010
320,0500000US12001,12001,"Alachua County, Florida",244247,2010
321,0500000US12003,12003,"Baker County, Florida",26548,2010
322,0500000US12005,12005,"Bay County, Florida",166798,2010
323,0500000US12007,12007,"Bradford County, Florida",28750,2010
324,0500000US12009,12009,"Brevard County, Florida",540583,2010
325,0500000US12011,12011,"Broward County, Florida",1734139,2010
326,0500000US12013,12013,"Calhoun County, Florida",14372,2010
327,0500000US12015,12015,"Charlotte County, Florida",159385,2010
328,0500000US12017,12017,"Citrus County, Florida",140686,2010
329,0500000US12019,12019,"Clay County, Florida",186076,2010
330,0500000US12021,12021,"Collier County, Florida",316931,2010
331,0500000US12023,12023,"Columbia County, Florida",66964,2010
332,0500000US12027,12027,"DeSoto County, Florida",34557,2010
333,0500000US12029,12029,"Dixie County, Florida",16196,2010
334,0500000US12031,12031,"Duval County, Florida",854848,2010
335,0500000US12033,12033,"Escambia County, Florida",297940,2010
336,0500000US12035,12035,"Flagler County, Florida",91806,2010
337,0500000US12037,12037,"Franklin County, Florida",11470,2010
338,0500000US12039,12039,"Gadsden County, Florida",46031,2010
